Sipp,2025-11-11 to 2025-11-11,2025-11-12 to 2025-11-24,2025-11-25 to 2025-12-08,2025-12-09 to 2025-12-10,2025-12-11 to 2025-12-14,2025-12-15 to 2025-12-15,2025-12-16 to 2025-12-19,2025-12-20 to 2025-12-31,2026-01-01 to 2026-01-01,2026-01-02 to 2026-01-02,2026-01-03 to 2026-01-04,2026-01-05 to 2026-01-05,2026-01-06 to 2026-01-10,2026-01-11 to 2026-01-12,2026-01-13 to 2026-01-13,2026-01-14 to 2026-01-14,2026-01-15 to 2026-03-13,2026-03-14 to 2026-03-15,2026-03-16 to 2026-03-31,2026-04-01 to 2026-05-04,2026-05-05 to 2026-05-22,2026-05-23 to 2026-06-01,2026-06-02 to 2026-06-07,2026-06-08 to 2026-06-08
CMAS,84.59,82.28,77.44,75.57,83.16,83.16,110.66,122.65,122.65,95.92,95.92,95.92,95.92,100.32,100.32,100.32,100.32,100.32,100.32,100.32,100.32,100.32,128.26,115.72
CMMS,72.82,72.82,72.82,72.82,80.08,80.08,80.08,88.66,88.66,88.66,88.66,80.08,80.08,83.71,83.71,83.71,83.71,92.62,92.62,92.62,83.71,92.62,92.62,83.71
EMAS,39.38,39.38,39.38,39.38,46.09,46.09,46.09,74.14,76.78,76.78,47.08,47.08,47.08,47.08,45.87,45.87,44.77,44.77,44.77,80.63,72.60,80.30,80.30,72.60
EMMS,25.52,25.52,25.52,25.52,28.05,32.78,67.54,67.54,51.04,51.04,51.04,51.04,51.04,53.35,53.35,53.35,53.35,53.35,78.10,78.10,78.10,78.10,85.58,85.58
ESAS,28.71,28.71,28.71,28.71,31.57,31.57,49.28,49.28,49.28,49.28,49.28,49.28,49.28,50.38,49.17,49.17,47.96,47.96,47.96,55.55,55.55,55.55,64.46,64.46
ESMS,24.31,24.31,24.31,24.31,26.73,26.73,36.41,36.41,36.41,36.41,36.41,36.41,36.41,36.41,36.41,35.09,35.09,35.09,35.09,37.73,37.73,37.73,50.82,50.82
PMAS,98.23,95.26,89.76,87.67,96.47,96.47,148.61,148.61,148.61,111.32,111.32,111.32,111.32,116.49,116.49,116.49,116.49,116.49,116.49,116.49,116.49,116.49,197.34,197.34
PMMS,39.93,39.93,39.93,39.93,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,71.06,71.06,71.06,119.35,119.35
PSAS,39.93,39.93,39.93,39.93,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,71.06,71.06,71.06,119.35,119.35
PSMS,25.52,25.52,25.52,25.52,28.05,32.78,67.54,67.54,51.04,51.04,51.04,51.04,51.04,53.35,53.35,53.35,53.35,53.35,78.10,78.10,78.10,78.10,85.58,85.58
SMAS,89.76,89.76,89.76,89.76,98.67,98.67,169.07,187.55,187.55,187.55,187.55,169.07,169.07,176.77,176.77,176.77,176.77,196.02,196.02,196.02,176.77,196.02,196.02,176.77
SSAS,62.04,60.50,56.76,55.44,60.94,60.94,93.61,93.61,93.61,70.29,70.29,70.29,70.29,73.48,73.48,73.48,73.48,73.48,73.48,73.48,73.48,73.48,124.08,124.08
SSMS,38.61,38.61,38.61,38.61,42.46,42.46,82.06,82.06,82.06,61.71,61.71,61.71,61.71,64.57,64.57,64.57,64.57,64.57,64.57,64.57,64.57,64.57,108.79,108.79

Prices adjusted by 10% (1.10x multiplier)

Linked Sipp categories (same prices):
EMMS and PSMS
PMMS and PSAS
