Sipp,2025-05-01 to 2025-05-01,2025-05-02 to 2025-05-03,2025-05-04 to 2025-05-05,2025-05-06 to 2025-05-08,2025-05-09 to 2025-05-20,2025-05-21 to 2025-05-25,2025-05-26 to 2025-05-30,2025-05-31 to 2025-06-01,2025-06-02 to 2025-06-07,2025-06-08 to 2025-06-08,2025-06-09 to 2025-06-12,2025-06-13 to 2025-06-17,2025-06-18 to 2025-06-21,2025-06-22 to 2025-06-23,2025-06-24 to 2025-06-28,2025-06-29 to 2025-06-30,2025-07-01 to 2025-07-10,2025-07-11 to 2025-07-13,2025-07-14 to 2025-08-19,2025-08-20 to 2025-08-22,2025-08-23 to 2025-08-23,2025-08-24 to 2025-08-28,2025-08-29 to 2025-08-29,2025-08-30 to 2025-08-31,2025-09-01 to 2025-10-01,2025-10-02 to 2025-10-31,2025-11-01 to 2025-11-26
CMAS,72.00,72.00,72.00,72.00,72.00,72.00,72.00,79.20,111.00,111.00,111.00,111.00,111.00,111.00,111.00,115.30,120.60,123.00,158.70,117.20,116.10,116.10,116.10,83.60,83.60,83.60,70.30
EMAS,63.80,63.80,63.80,63.80,36.70,63.80,63.80,70.20,70.20,70.20,46.00,46.00,70.20,70.20,73.60,73.60,76.90,76.90,99.00,73.40,73.40,73.40,48.30,48.30,48.30,73.40,73.40
EMMS,46.60,40.70,25.60,25.60,25.60,25.60,31.50,35.40,51.20,35.90,35.90,51.20,51.20,51.20,53.70,53.70,56.10,56.10,72.00,53.50,53.50,37.50,37.50,37.50,37.50,37.50,37.50
ESMS,37.20,37.20,22.40,22.40,22.40,22.40,27.00,29.70,35.10,35.10,35.10,35.10,35.10,53.90,53.90,55.60,58.20,65.60,65.60,65.60,56.40,56.40,36.60,36.60,31.40,31.40,31.40
PMMS,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30
PSAS,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30
PSMS,46.60,40.70,25.60,25.60,25.60,25.60,31.50,35.40,51.20,35.90,35.90,51.20,51.20,51.20,53.70,53.70,56.10,56.10,72.00,53.50,53.50,37.50,37.50,37.50,37.50,37.50,37.50
SSAS,96.50,83.30,83.30,65.60,65.60,65.60,65.60,72.10,154.60,154.60,154.60,154.60,154.60,154.60,154.60,154.60,161.60,161.60,161.60,161.60,161.60,161.60,161.60,161.60,76.10,76.10,76.10
SSMS,77.50,66.90,36.30,36.30,36.30,36.30,52.70,58.00,112.10,112.10,112.10,112.10,112.10,112.10,117.60,117.60,123.00,123.00,129.60,117.20,117.20,117.20,117.20,117.20,61.20,61.20,61.20

Prices adjusted by 0% (1.00x multiplier)

Linked Sipp categories (same prices):
EMMS and PSMS
PMMS and PSAS
