Sipp,2025-05-15 to 2025-05-15,2025-05-16 to 2025-05-20,2025-05-21 to 2025-05-25,2025-05-26 to 2025-06-01,2025-06-02 to 2025-06-08,2025-06-09 to 2025-06-09,2025-06-10 to 2025-06-13,2025-06-14 to 2025-06-17,2025-06-18 to 2025-06-23,2025-06-24 to 2025-06-28,2025-06-29 to 2025-06-30,2025-07-01 to 2025-07-10,2025-07-11 to 2025-07-13,2025-07-14 to 2025-07-14,2025-07-15 to 2025-08-19,2025-08-20 to 2025-08-22,2025-08-23 to 2025-08-23,2025-08-24 to 2025-08-28,2025-08-29 to 2025-08-29,2025-08-30 to 2025-08-31,2025-09-01 to 2025-09-03,2025-09-04 to 2025-10-01,2025-10-02 to 2025-10-31,2025-11-01 to 2025-12-10
CMAS,83.90,71.80,71.80,71.80,100.90,100.90,100.90,111.00,111.00,111.00,115.30,115.30,117.50,158.60,158.60,117.10,116.10,116.10,116.10,82.90,82.90,82.90,82.90,70.30
EMAS,34.70,34.70,63.70,63.70,63.70,41.60,41.60,45.70,70.10,73.50,73.50,73.50,73.50,98.90,98.90,73.30,73.30,73.30,47.80,47.80,47.80,47.80,73.30,73.30
EMMS,25.60,25.60,25.60,42.70,43.80,43.80,32.00,35.20,35.20,35.20,35.20,48.20,54.00,57.70,57.70,56.50,56.50,56.50,56.50,56.50,31.00,31.00,31.00,31.00
ESMS,23.10,23.10,23.10,26.90,41.60,41.60,29.90,32.90,32.90,32.90,32.90,45.80,51.70,51.70,54.00,54.00,54.00,54.00,36.40,36.40,28.50,28.50,28.50,28.50
PMMS,37.40,37.40,37.40,57.70,57.70,57.70,50.20,55.20,55.20,55.20,55.20,63.40,75.20,75.20,78.60,78.60,78.60,78.60,78.60,78.60,43.00,43.00,43.40,43.40
PSAS,37.40,37.40,37.40,57.70,57.70,57.70,50.20,55.20,55.20,55.20,55.20,63.40,75.20,75.20,78.60,78.60,78.60,78.60,78.60,78.60,43.00,43.00,43.40,43.40
PSMS,25.60,25.60,25.60,42.70,43.80,43.80,32.00,35.20,35.20,35.20,35.20,48.20,54.00,57.70,57.70,56.50,56.50,56.50,56.50,56.50,31.00,31.00,31.00,31.00
SSAS,65.40,65.40,65.40,65.40,140.30,140.30,140.30,154.30,154.30,154.30,154.30,154.30,154.30,154.30,161.40,161.40,161.40,161.40,161.40,161.40,75.90,75.90,75.90,75.90
SSMS,36.30,36.30,36.30,52.30,52.30,52.30,36.30,39.90,39.90,39.90,39.90,57.60,69.30,69.30,72.40,72.40,72.40,72.40,72.40,72.40,42.20,42.20,42.20,42.20

Prices adjusted by 0% (1.00x multiplier)

Linked Sipp categories (same prices):
EMMS and PSMS
PMMS and PSAS
