Sipp,2025-10-22 to 2025-10-27,2025-10-28 to 2025-10-28,2025-10-29 to 2025-10-29,2025-10-30 to 2025-11-01,2025-11-02 to 2025-11-02,2025-11-03 to 2025-11-04,2025-11-05 to 2025-11-06,2025-11-07 to 2025-11-07,2025-11-08 to 2025-11-18,2025-11-19 to 2025-11-20,2025-11-21 to 2025-12-10,2025-12-11 to 2025-12-15,2025-12-16 to 2025-12-19,2025-12-20 to 2025-12-21,2025-12-22 to 2025-12-31,2026-01-01 to 2026-01-01,2026-01-02 to 2026-01-04,2026-01-05 to 2026-03-13,2026-03-14 to 2026-03-15,2026-03-16 to 2026-05-04,2026-05-05 to 2026-05-19
CMAS,91.60,91.60,88.50,88.50,91.60,91.60,89.10,89.10,77.10,75.30,82.90,82.90,100.80,111.70,116.80,116.80,90.90,90.90,90.90,90.90,90.90
CMMS,66.20,66.20,66.20,66.20,66.20,66.20,66.20,66.20,66.20,66.20,72.90,72.90,72.90,80.70,84.40,84.40,84.40,76.20,84.40,84.40,76.20
EMAS,57.40,57.40,57.40,42.70,42.70,42.70,42.70,35.00,35.00,35.00,38.50,47.00,63.20,69.90,73.10,73.10,73.10,66.00,73.30,73.30,66.00
EMMS,26.10,26.10,26.10,26.10,26.10,24.10,24.10,24.10,24.10,24.10,26.60,26.60,61.40,61.40,64.20,48.50,48.50,48.50,48.50,71.00,71.00
ESAS,28.10,28.10,28.10,28.10,28.10,26.10,26.10,26.10,26.10,26.10,28.70,28.70,60.40,60.40,63.10,47.30,47.30,47.30,47.30,50.40,50.40
ESMS,24.10,24.10,24.10,24.10,24.10,22.10,22.10,22.10,22.10,22.10,24.30,24.30,41.00,41.00,42.80,34.10,34.10,34.10,34.10,34.10,34.10
PMAS,102.70,102.70,102.70,102.70,113.10,113.10,103.40,103.40,89.50,87.40,96.20,96.20,134.60,134.60,140.70,140.70,105.50,105.50,105.50,105.50,105.50
PMMS,57.60,36.30,36.30,36.30,36.30,36.30,36.30,36.30,36.30,36.30,39.90,60.50,84.10,84.10,87.90,87.90,66.30,66.30,66.90,66.90,66.90
PSAS,57.60,36.30,36.30,36.30,36.30,36.30,36.30,36.30,36.30,36.30,39.90,60.50,84.10,84.10,87.90,87.90,66.30,66.30,66.90,66.90,66.90
PSMS,26.10,26.10,26.10,26.10,26.10,24.10,24.10,24.10,24.10,24.10,26.60,26.60,61.40,61.40,64.20,48.50,48.50,48.50,48.50,71.00,71.00
SMAS,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,90.10,90.10,153.90,170.70,178.50,178.50,178.50,178.50,178.50,178.50,178.50
SSAS,64.80,64.80,64.80,64.80,71.20,71.20,65.20,65.20,56.50,55.20,60.70,60.70,84.80,84.80,88.60,88.60,66.60,66.60,66.60,66.60,66.60
SSMS,35.30,35.30,35.30,35.30,35.30,35.30,35.30,35.30,35.30,35.30,38.80,38.80,74.40,74.40,77.80,77.80,58.50,58.50,58.50,58.50,58.50

Prices adjusted by 0% (1.00x multiplier)

Linked Sipp categories (same prices):
EMMS and PSMS
PMMS and PSAS
