Sipp,2025-06-17 to 2025-06-17,2025-06-18 to 2025-06-23,2025-06-24 to 2025-06-24,2025-06-25 to 2025-06-28,2025-06-29 to 2025-06-30,2025-07-01 to 2025-07-10,2025-07-11 to 2025-07-13,2025-07-14 to 2025-07-14,2025-07-15 to 2025-07-16,2025-07-17 to 2025-07-23,2025-07-24 to 2025-08-06,2025-08-07 to 2025-08-09,2025-08-10 to 2025-08-16,2025-08-17 to 2025-08-19,2025-08-20 to 2025-08-21,2025-08-22 to 2025-08-22,2025-08-23 to 2025-08-27,2025-08-28 to 2025-08-28,2025-08-29 to 2025-08-29,2025-08-30 to 2025-08-31,2025-09-01 to 2025-10-01,2025-10-02 to 2025-10-17,2025-10-18 to 2025-10-31,2025-11-01 to 2025-12-12,2025-12-13 to 2025-12-15,2025-12-16 to 2025-12-19,2025-12-20 to 2026-01-01,2026-01-02 to 2026-01-05,2026-01-06 to 2026-01-12
CMAS,121.41,103.85,103.85,103.85,111.38,119.59,122.21,157.78,157.78,173.51,173.51,173.51,173.51,181.37,133.95,133.95,132.35,132.35,132.35,94.39,94.39,94.39,98.04,80.14,99.07,128.14,133.95,103.85,103.85
CMMS,84.13,84.13,88.24,88.24,88.24,88.24,88.24,113.66,113.66,125.06,125.06,125.06,125.06,130.76,96.79,96.79,96.79,96.79,96.79,90.63,90.63,90.63,96.79,77.29,96.79,96.79,96.79,96.79,87.32
EMAS,72.96,72.96,76.49,76.49,76.49,76.49,76.49,76.49,76.49,76.49,108.19,108.19,108.19,113.09,83.90,83.90,83.90,83.90,54.49,54.49,54.49,83.90,83.90,83.90,83.90,83.90,83.90,83.90,83.90
EMMS,31.46,31.46,31.46,36.59,36.59,49.93,57.23,57.23,57.23,62.93,62.93,62.93,62.93,65.78,64.41,64.41,64.41,64.41,64.41,64.41,35.34,35.34,35.34,35.34,35.34,56.54,56.54,42.75,42.75
ESAS,35.34,35.34,35.34,37.73,37.73,49.93,59.74,59.74,59.74,65.66,65.66,65.66,65.66,68.63,68.63,58.60,58.60,58.60,58.60,58.60,38.19,38.19,38.19,38.19,38.19,76.49,76.49,57.57,57.57
ESMS,28.04,28.04,28.04,34.09,34.09,47.54,53.58,53.58,53.58,58.94,58.94,39.67,58.94,61.67,61.67,61.67,61.67,61.67,41.50,41.50,32.60,32.60,32.60,32.60,32.60,51.64,51.64,38.99,38.99
PMAS,140.90,129.28,129.28,129.28,129.28,217.74,217.74,217.74,212.50,233.81,233.81,233.81,233.81,244.42,244.42,244.42,244.42,244.42,244.42,244.42,114.91,114.91,114.91,114.91,114.91,160.85,160.85,120.61,120.61
PMMS,96.22,96.22,96.22,57.23,57.23,65.78,77.98,77.98,77.98,85.73,85.73,85.73,85.73,89.60,89.60,89.60,89.60,89.60,89.60,89.60,49.02,49.48,49.48,49.48,49.48,49.48,49.48,49.48,49.48
PSAS,96.22,96.22,96.22,57.23,57.23,65.78,77.98,77.98,77.98,85.73,85.73,85.73,85.73,89.60,89.60,89.60,89.60,89.60,89.60,89.60,49.02,49.48,49.48,49.48,49.48,49.48,49.48,49.48,49.48
PSMS,31.46,31.46,31.46,36.59,36.59,49.93,57.23,57.23,57.23,62.93,62.93,62.93,62.93,65.78,64.41,64.41,64.41,64.41,64.41,64.41,35.34,35.34,35.34,35.34,35.34,56.54,56.54,42.75,42.75
SMAS,47.54,47.54,47.54,96.22,96.22,120.61,144.89,144.89,144.89,159.37,159.37,159.37,159.37,166.67,166.67,166.67,166.67,166.67,166.67,166.67,111.72,111.72,111.72,111.72,111.72,204.74,204.74,204.74,204.74
SSAS,88.69,81.40,81.40,81.40,81.40,136.69,136.69,136.69,133.49,146.83,146.83,146.83,146.83,153.56,153.56,153.56,153.56,153.56,153.56,153.56,72.50,72.50,72.50,72.50,72.50,101.35,101.35,76.04,76.04
SSMS,41.38,41.38,41.38,41.38,41.38,59.74,71.82,71.82,71.82,79.00,79.00,79.00,79.00,82.65,82.65,82.65,82.65,82.65,82.65,82.65,48.11,48.11,48.11,48.11,48.11,88.92,88.92,66.80,66.80

Prices adjusted by 14% (1.14x multiplier)

Linked Sipp categories (same prices):
EMMS and PSMS
PMMS and PSAS
