Sipp,2025-11-11 to 2025-11-11,2025-11-12 to 2025-11-24,2025-11-25 to 2025-12-08,2025-12-09 to 2025-12-10,2025-12-11 to 2025-12-14,2025-12-15 to 2025-12-15,2025-12-16 to 2025-12-19,2025-12-20 to 2025-12-31,2026-01-01 to 2026-01-01,2026-01-02 to 2026-01-02,2026-01-03 to 2026-01-04,2026-01-05 to 2026-01-05,2026-01-06 to 2026-01-10,2026-01-11 to 2026-01-12,2026-01-13 to 2026-01-13,2026-01-14 to 2026-01-14,2026-01-15 to 2026-03-13,2026-03-14 to 2026-03-15,2026-03-16 to 2026-03-31,2026-04-01 to 2026-05-04,2026-05-05 to 2026-05-22,2026-05-23 to 2026-06-01,2026-06-02 to 2026-06-07,2026-06-08 to 2026-06-08
CMAS,85.36,83.03,78.14,76.26,83.92,83.92,111.67,123.77,123.77,96.79,96.79,96.79,96.79,101.23,101.23,101.23,101.23,101.23,101.23,101.23,101.23,101.23,129.43,116.77
CMMS,73.48,73.48,73.48,73.48,80.81,80.81,80.81,89.47,89.47,89.47,89.47,80.81,80.81,84.47,84.47,84.47,84.47,93.46,93.46,93.46,84.47,93.46,93.46,84.47
EMAS,39.74,39.74,39.74,39.74,46.51,46.51,46.51,74.81,77.48,77.48,47.51,47.51,47.51,47.51,46.29,46.29,45.18,45.18,45.18,81.36,73.26,81.03,81.03,73.26
EMMS,25.75,25.75,25.75,25.75,28.31,33.08,68.15,68.15,51.50,51.50,51.50,51.50,51.50,53.84,53.84,53.84,53.84,53.84,78.81,78.81,78.81,78.81,86.36,86.36
ESAS,28.97,28.97,28.97,28.97,31.86,31.86,49.73,49.73,49.73,49.73,49.73,49.73,49.73,50.84,49.62,49.62,48.40,48.40,48.40,56.06,56.06,56.06,65.05,65.05
ESMS,24.53,24.53,24.53,24.53,26.97,26.97,36.74,36.74,36.74,36.74,36.74,36.74,36.74,36.74,36.74,35.41,35.41,35.41,35.41,38.07,38.07,38.07,51.28,51.28
PMAS,99.12,96.13,90.58,88.47,97.35,97.35,149.96,149.96,149.96,112.33,112.33,112.33,112.33,117.55,117.55,117.55,117.55,117.55,117.55,117.55,117.55,117.55,199.13,199.13
PMMS,40.29,40.29,40.29,40.29,44.07,44.07,44.07,44.07,44.07,44.07,44.07,44.07,44.07,44.07,44.07,44.07,44.07,44.07,44.07,71.71,71.71,71.71,120.44,120.44
PSAS,40.29,40.29,40.29,40.29,44.07,44.07,44.07,44.07,44.07,44.07,44.07,44.07,44.07,44.07,44.07,44.07,44.07,44.07,44.07,71.71,71.71,71.71,120.44,120.44
PSMS,25.75,25.75,25.75,25.75,28.31,33.08,68.15,68.15,51.50,51.50,51.50,51.50,51.50,53.84,53.84,53.84,53.84,53.84,78.81,78.81,78.81,78.81,86.36,86.36
SMAS,90.58,90.58,90.58,90.58,99.57,99.57,170.61,189.26,189.26,189.26,189.26,170.61,170.61,178.38,178.38,178.38,178.38,197.80,197.80,197.80,178.38,197.80,197.80,178.38
SSAS,62.60,61.05,57.28,55.94,61.49,61.49,94.46,94.46,94.46,70.93,70.93,70.93,70.93,74.15,74.15,74.15,74.15,74.15,74.15,74.15,74.15,74.15,125.21,125.21
SSMS,38.96,38.96,38.96,38.96,42.85,42.85,82.81,82.81,82.81,62.27,62.27,62.27,62.27,65.16,65.16,65.16,65.16,65.16,65.16,65.16,65.16,65.16,109.78,109.78

Prices adjusted by 11% (1.11x multiplier)

Linked Sipp categories (same prices):
EMMS and PSMS
PMMS and PSAS
