Sipp,2025-11-11 to 2025-11-11,2025-11-12 to 2025-11-24,2025-11-25 to 2025-12-08,2025-12-09 to 2025-12-10,2025-12-11 to 2025-12-14,2025-12-15 to 2025-12-15,2025-12-16 to 2025-12-19,2025-12-20 to 2025-12-31,2026-01-01 to 2026-01-01,2026-01-02 to 2026-01-02,2026-01-03 to 2026-01-04,2026-01-05 to 2026-01-05,2026-01-06 to 2026-01-10,2026-01-11 to 2026-01-12,2026-01-13 to 2026-01-13,2026-01-14 to 2026-01-14,2026-01-15 to 2026-03-13,2026-03-14 to 2026-03-15,2026-03-16 to 2026-03-31,2026-04-01 to 2026-05-04,2026-05-05 to 2026-05-22,2026-05-23 to 2026-06-01,2026-06-02 to 2026-06-07,2026-06-08 to 2026-06-08
CMAS,76.90,74.80,70.40,68.70,75.60,75.60,100.60,111.50,111.50,87.20,87.20,87.20,87.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,116.60,105.20
CMMS,66.20,66.20,66.20,66.20,72.80,72.80,72.80,80.60,80.60,80.60,80.60,72.80,72.80,76.10,76.10,76.10,76.10,84.20,84.20,84.20,76.10,84.20,84.20,76.10
EMAS,35.80,35.80,35.80,35.80,41.90,41.90,41.90,67.40,69.80,69.80,42.80,42.80,42.80,42.80,41.70,41.70,40.70,40.70,40.70,73.30,66.00,73.00,73.00,66.00
EMMS,23.20,23.20,23.20,23.20,25.50,29.80,61.40,61.40,46.40,46.40,46.40,46.40,46.40,48.50,48.50,48.50,48.50,48.50,71.00,71.00,71.00,71.00,77.80,77.80
ESAS,26.10,26.10,26.10,26.10,28.70,28.70,44.80,44.80,44.80,44.80,44.80,44.80,44.80,45.80,44.70,44.70,43.60,43.60,43.60,50.50,50.50,50.50,58.60,58.60
ESMS,22.10,22.10,22.10,22.10,24.30,24.30,33.10,33.10,33.10,33.10,33.10,33.10,33.10,33.10,33.10,31.90,31.90,31.90,31.90,34.30,34.30,34.30,46.20,46.20
PMAS,89.30,86.60,81.60,79.70,87.70,87.70,135.10,135.10,135.10,101.20,101.20,101.20,101.20,105.90,105.90,105.90,105.90,105.90,105.90,105.90,105.90,105.90,179.40,179.40
PMMS,36.30,36.30,36.30,36.30,39.70,39.70,39.70,39.70,39.70,39.70,39.70,39.70,39.70,39.70,39.70,39.70,39.70,39.70,39.70,64.60,64.60,64.60,108.50,108.50
PSAS,36.30,36.30,36.30,36.30,39.70,39.70,39.70,39.70,39.70,39.70,39.70,39.70,39.70,39.70,39.70,39.70,39.70,39.70,39.70,64.60,64.60,64.60,108.50,108.50
PSMS,23.20,23.20,23.20,23.20,25.50,29.80,61.40,61.40,46.40,46.40,46.40,46.40,46.40,48.50,48.50,48.50,48.50,48.50,71.00,71.00,71.00,71.00,77.80,77.80
SMAS,81.60,81.60,81.60,81.60,89.70,89.70,153.70,170.50,170.50,170.50,170.50,153.70,153.70,160.70,160.70,160.70,160.70,178.20,178.20,178.20,160.70,178.20,178.20,160.70
SSAS,56.40,55.00,51.60,50.40,55.40,55.40,85.10,85.10,85.10,63.90,63.90,63.90,63.90,66.80,66.80,66.80,66.80,66.80,66.80,66.80,66.80,66.80,112.80,112.80
SSMS,35.10,35.10,35.10,35.10,38.60,38.60,74.60,74.60,74.60,56.10,56.10,56.10,56.10,58.70,58.70,58.70,58.70,58.70,58.70,58.70,58.70,58.70,98.90,98.90

Prices adjusted by 0% (1.00x multiplier)

Linked Sipp categories (same prices):
EMMS and PSMS
PMMS and PSAS
