Sipp,2025-05-15 to 2025-05-15,2025-05-16 to 2025-05-20,2025-05-21 to 2025-05-25,2025-05-26 to 2025-06-01,2025-06-02 to 2025-06-08,2025-06-09 to 2025-06-09,2025-06-10 to 2025-06-13,2025-06-14 to 2025-06-17,2025-06-18 to 2025-06-23,2025-06-24 to 2025-06-28,2025-06-29 to 2025-06-30,2025-07-01 to 2025-07-10,2025-07-11 to 2025-07-13,2025-07-14 to 2025-07-14,2025-07-15 to 2025-08-19,2025-08-20 to 2025-08-22,2025-08-23 to 2025-08-23,2025-08-24 to 2025-08-28,2025-08-29 to 2025-08-29,2025-08-30 to 2025-08-31,2025-09-01 to 2025-09-03,2025-09-04 to 2025-10-01,2025-10-02 to 2025-10-31,2025-11-01 to 2025-12-10
CMAS,96.48,82.57,82.57,82.57,116.03,116.03,116.03,127.65,127.65,127.65,132.59,132.59,135.12,182.39,182.39,134.66,133.51,133.51,133.51,95.33,95.33,95.33,95.33,80.84
EMAS,39.91,39.91,73.25,73.25,73.25,47.84,47.84,52.55,80.61,84.52,84.52,84.52,84.52,113.73,113.73,84.29,84.29,84.29,54.97,54.97,54.97,54.97,84.29,84.29
EMMS,29.44,29.44,29.44,49.10,50.37,50.37,36.80,40.48,40.48,40.48,40.48,55.43,62.10,66.36,66.36,64.97,64.97,64.97,64.97,64.97,35.65,35.65,35.65,35.65
ESMS,26.57,26.57,26.57,30.93,47.84,47.84,34.38,37.83,37.83,37.83,37.83,52.67,59.45,59.45,62.10,62.10,62.10,62.10,41.86,41.86,32.77,32.77,32.77,32.77
PMMS,43.01,43.01,43.01,66.36,66.36,66.36,57.73,63.48,63.48,63.48,63.48,72.91,86.48,86.48,90.39,90.39,90.39,90.39,90.39,90.39,49.45,49.45,49.91,49.91
PSAS,43.01,43.01,43.01,66.36,66.36,66.36,57.73,63.48,63.48,63.48,63.48,72.91,86.48,86.48,90.39,90.39,90.39,90.39,90.39,90.39,49.45,49.45,49.91,49.91
PSMS,29.44,29.44,29.44,49.10,50.37,50.37,36.80,40.48,40.48,40.48,40.48,55.43,62.10,66.36,66.36,64.97,64.97,64.97,64.97,64.97,35.65,35.65,35.65,35.65
SSAS,75.21,75.21,75.21,75.21,161.34,161.34,161.34,177.44,177.44,177.44,177.44,177.44,177.44,177.44,185.61,185.61,185.61,185.61,185.61,185.61,87.28,87.28,87.28,87.28
SSMS,41.74,41.74,41.74,60.14,60.14,60.14,41.74,45.88,45.88,45.88,45.88,66.24,79.69,79.69,83.26,83.26,83.26,83.26,83.26,83.26,48.53,48.53,48.53,48.53

Prices adjusted by 15% (1.15x multiplier)

Linked Sipp categories (same prices):
EMMS and PSMS
PMMS and PSAS
