Sipp,2025-05-01 to 2025-05-01,2025-05-02 to 2025-05-03,2025-05-04 to 2025-05-05,2025-05-06 to 2025-05-08,2025-05-09 to 2025-05-20,2025-05-21 to 2025-05-25,2025-05-26 to 2025-05-30,2025-05-31 to 2025-06-01,2025-06-02 to 2025-06-07,2025-06-08 to 2025-06-08,2025-06-09 to 2025-06-12,2025-06-13 to 2025-06-17,2025-06-18 to 2025-06-21,2025-06-22 to 2025-06-23,2025-06-24 to 2025-06-28,2025-06-29 to 2025-06-30,2025-07-01 to 2025-07-10,2025-07-11 to 2025-07-13,2025-07-14 to 2025-08-19,2025-08-20 to 2025-08-22,2025-08-23 to 2025-08-23,2025-08-24 to 2025-08-28,2025-08-29 to 2025-08-29,2025-08-30 to 2025-08-31,2025-09-01 to 2025-10-01,2025-10-02 to 2025-10-31,2025-11-01 to 2025-11-26
CMAS,82.80,82.80,82.80,82.80,82.80,82.80,82.80,91.08,127.65,127.65,127.65,127.65,127.65,127.65,127.65,132.59,138.69,141.45,182.50,134.78,133.51,133.51,133.51,96.14,96.14,96.14,80.84
EMAS,73.37,73.37,73.37,73.37,42.20,73.37,73.37,80.73,80.73,80.73,52.90,52.90,80.73,80.73,84.64,84.64,88.44,88.44,113.85,84.41,84.41,84.41,55.54,55.54,55.54,84.41,84.41
EMMS,53.59,46.80,29.44,29.44,29.44,29.44,36.22,40.71,58.88,41.28,41.28,58.88,58.88,58.88,61.75,61.75,64.52,64.52,82.80,61.52,61.52,43.12,43.12,43.12,43.12,43.12,43.12
ESMS,42.78,42.78,25.76,25.76,25.76,25.76,31.05,34.15,40.37,40.37,40.37,40.37,40.37,61.98,61.98,63.94,66.93,75.44,75.44,75.44,64.86,64.86,42.09,42.09,36.11,36.11,36.11
PMMS,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94
PSAS,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94
PSMS,53.59,46.80,29.44,29.44,29.44,29.44,36.22,40.71,58.88,41.28,41.28,58.88,58.88,58.88,61.75,61.75,64.52,64.52,82.80,61.52,61.52,43.12,43.12,43.12,43.12,43.12,43.12
SSAS,110.97,95.79,95.79,75.44,75.44,75.44,75.44,82.91,177.79,177.79,177.79,177.79,177.79,177.79,177.79,177.79,185.84,185.84,185.84,185.84,185.84,185.84,185.84,185.84,87.51,87.51,87.51
SSMS,89.12,76.94,41.74,41.74,41.74,41.74,60.60,66.70,128.91,128.91,128.91,128.91,128.91,128.91,135.24,135.24,141.45,141.45,149.04,134.78,134.78,134.78,134.78,134.78,70.38,70.38,70.38

Prices adjusted by 15% (1.15x multiplier)

Linked Sipp categories (same prices):
EMMS and PSMS
PMMS and PSAS
