Sipp,2025-11-11 to 2025-11-11,2025-11-12 to 2025-11-24,2025-11-25 to 2025-12-08,2025-12-09 to 2025-12-10,2025-12-11 to 2025-12-14,2025-12-15 to 2025-12-15,2025-12-16 to 2025-12-19,2025-12-20 to 2025-12-31,2026-01-01 to 2026-01-01,2026-01-02 to 2026-01-02,2026-01-03 to 2026-01-04,2026-01-05 to 2026-01-05,2026-01-06 to 2026-01-10,2026-01-11 to 2026-01-12,2026-01-13 to 2026-01-13,2026-01-14 to 2026-01-14,2026-01-15 to 2026-03-13,2026-03-14 to 2026-03-15,2026-03-16 to 2026-03-31,2026-04-01 to 2026-05-04,2026-05-05 to 2026-05-22,2026-05-23 to 2026-06-01,2026-06-02 to 2026-06-07,2026-06-08 to 2026-06-08
CMAS,98.43,95.74,90.11,87.94,96.77,96.77,128.77,142.72,142.72,111.62,111.62,111.62,111.62,116.74,116.74,116.74,116.74,116.74,116.74,116.74,116.74,116.74,149.25,134.66
CMMS,84.74,84.74,84.74,84.74,93.18,93.18,93.18,103.17,103.17,103.17,103.17,93.18,93.18,97.41,97.41,97.41,97.41,107.78,107.78,107.78,97.41,107.78,107.78,97.41
EMAS,45.82,45.82,45.82,45.82,53.63,53.63,53.63,86.27,89.34,89.34,54.78,54.78,54.78,54.78,53.38,53.38,52.10,52.10,52.10,93.82,84.48,93.44,93.44,84.48
EMMS,29.70,29.70,29.70,29.70,32.64,38.14,78.59,78.59,59.39,59.39,59.39,59.39,59.39,62.08,62.08,62.08,62.08,62.08,90.88,90.88,90.88,90.88,99.58,99.58
ESAS,33.41,33.41,33.41,33.41,36.74,36.74,57.34,57.34,57.34,57.34,57.34,57.34,57.34,58.62,57.22,57.22,55.81,55.81,55.81,64.64,64.64,64.64,75.01,75.01
ESMS,28.29,28.29,28.29,28.29,31.10,31.10,42.37,42.37,42.37,42.37,42.37,42.37,42.37,42.37,42.37,40.83,40.83,40.83,40.83,43.90,43.90,43.90,59.14,59.14
PMAS,114.30,110.85,104.45,102.02,112.26,112.26,172.93,172.93,172.93,129.54,129.54,129.54,129.54,135.55,135.55,135.55,135.55,135.55,135.55,135.55,135.55,135.55,229.63,229.63
PMMS,46.46,46.46,46.46,46.46,50.82,50.82,50.82,50.82,50.82,50.82,50.82,50.82,50.82,50.82,50.82,50.82,50.82,50.82,50.82,82.69,82.69,82.69,138.88,138.88
PSAS,46.46,46.46,46.46,46.46,50.82,50.82,50.82,50.82,50.82,50.82,50.82,50.82,50.82,50.82,50.82,50.82,50.82,50.82,50.82,82.69,82.69,82.69,138.88,138.88
PSMS,29.70,29.70,29.70,29.70,32.64,38.14,78.59,78.59,59.39,59.39,59.39,59.39,59.39,62.08,62.08,62.08,62.08,62.08,90.88,90.88,90.88,90.88,99.58,99.58
SMAS,104.45,104.45,104.45,104.45,114.82,114.82,196.74,218.24,218.24,218.24,218.24,196.74,196.74,205.70,205.70,205.70,205.70,228.10,228.10,228.10,205.70,228.10,228.10,205.70
SSAS,72.19,70.40,66.05,64.51,70.91,70.91,108.93,108.93,108.93,81.79,81.79,81.79,81.79,85.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,144.38,144.38
SSMS,44.93,44.93,44.93,44.93,49.41,49.41,95.49,95.49,95.49,71.81,71.81,71.81,71.81,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,126.59,126.59

Prices adjusted by 28% (1.28x multiplier)

Linked Sipp categories (same prices):
EMMS and PSMS
PMMS and PSAS
