Sipp,2025-06-17 to 2025-06-17,2025-06-18 to 2025-06-23,2025-06-24 to 2025-06-24,2025-06-25 to 2025-06-28,2025-06-29 to 2025-06-30,2025-07-01 to 2025-07-10,2025-07-11 to 2025-07-13,2025-07-14 to 2025-07-14,2025-07-15 to 2025-07-16,2025-07-17 to 2025-07-23,2025-07-24 to 2025-08-06,2025-08-07 to 2025-08-09,2025-08-10 to 2025-08-16,2025-08-17 to 2025-08-19,2025-08-20 to 2025-08-21,2025-08-22 to 2025-08-22,2025-08-23 to 2025-08-27,2025-08-28 to 2025-08-28,2025-08-29 to 2025-08-29,2025-08-30 to 2025-08-31,2025-09-01 to 2025-10-01,2025-10-02 to 2025-10-17,2025-10-18 to 2025-10-31,2025-11-01 to 2025-12-12,2025-12-13 to 2025-12-15,2025-12-16 to 2025-12-19,2025-12-20 to 2026-01-01,2026-01-02 to 2026-01-05,2026-01-06 to 2026-01-12
CMAS,113.96,97.48,97.48,97.48,104.54,112.24,114.70,148.09,148.09,162.85,162.85,162.85,162.85,170.24,125.73,125.73,124.23,124.23,124.23,88.60,88.60,88.60,92.02,75.22,92.98,120.27,125.73,97.48,97.48
CMMS,78.97,78.97,82.82,82.82,82.82,82.82,82.82,106.68,106.68,117.38,117.38,117.38,117.38,122.73,90.84,90.84,90.84,90.84,90.84,85.07,85.07,85.07,90.84,72.55,90.84,90.84,90.84,90.84,81.96
EMAS,68.48,68.48,71.80,71.80,71.80,71.80,71.80,71.80,71.80,71.80,101.54,101.54,101.54,106.14,78.75,78.75,78.75,78.75,51.15,51.15,51.15,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75
EMMS,29.53,29.53,29.53,34.35,34.35,46.87,53.71,53.71,53.71,59.06,59.06,59.06,59.06,61.74,60.46,60.46,60.46,60.46,60.46,60.46,33.17,33.17,33.17,33.17,33.17,53.07,53.07,40.12,40.12
ESAS,33.17,33.17,33.17,35.42,35.42,46.87,56.07,56.07,56.07,61.63,61.63,61.63,61.63,64.41,64.41,55.00,55.00,55.00,55.00,55.00,35.84,35.84,35.84,35.84,35.84,71.80,71.80,54.04,54.04
ESMS,26.32,26.32,26.32,31.99,31.99,44.62,50.29,50.29,50.29,55.32,55.32,37.24,55.32,57.89,57.89,57.89,57.89,57.89,38.95,38.95,30.60,30.60,30.60,30.60,30.60,48.47,48.47,36.59,36.59
PMAS,132.25,121.34,121.34,121.34,121.34,204.37,204.37,204.37,199.45,219.46,219.46,219.46,219.46,229.41,229.41,229.41,229.41,229.41,229.41,229.41,107.86,107.86,107.86,107.86,107.86,150.98,150.98,113.21,113.21
PMMS,90.31,90.31,90.31,53.71,53.71,61.74,73.19,73.19,73.19,80.46,80.46,80.46,80.46,84.10,84.10,84.10,84.10,84.10,84.10,84.10,46.01,46.44,46.44,46.44,46.44,46.44,46.44,46.44,46.44
PSAS,90.31,90.31,90.31,53.71,53.71,61.74,73.19,73.19,73.19,80.46,80.46,80.46,80.46,84.10,84.10,84.10,84.10,84.10,84.10,84.10,46.01,46.44,46.44,46.44,46.44,46.44,46.44,46.44,46.44
PSMS,29.53,29.53,29.53,34.35,34.35,46.87,53.71,53.71,53.71,59.06,59.06,59.06,59.06,61.74,60.46,60.46,60.46,60.46,60.46,60.46,33.17,33.17,33.17,33.17,33.17,53.07,53.07,40.12,40.12
SMAS,44.62,44.62,44.62,90.31,90.31,113.21,136.00,136.00,136.00,149.59,149.59,149.59,149.59,156.43,156.43,156.43,156.43,156.43,156.43,156.43,104.86,104.86,104.86,104.86,104.86,192.17,192.17,192.17,192.17
SSAS,83.25,76.40,76.40,76.40,76.40,128.29,128.29,128.29,125.30,137.82,137.82,137.82,137.82,144.13,144.13,144.13,144.13,144.13,144.13,144.13,68.05,68.05,68.05,68.05,68.05,95.12,95.12,71.37,71.37
SSMS,38.84,38.84,38.84,38.84,38.84,56.07,67.41,67.41,67.41,74.15,74.15,74.15,74.15,77.58,77.58,77.58,77.58,77.58,77.58,77.58,45.15,45.15,45.15,45.15,45.15,83.46,83.46,62.70,62.70

Prices adjusted by 7% (1.07x multiplier)

Linked Sipp categories (same prices):
EMMS and PSMS
PMMS and PSAS
