Sipp,2025-06-17 to 2025-06-17,2025-06-18 to 2025-06-23,2025-06-24 to 2025-06-24,2025-06-25 to 2025-06-28,2025-06-29 to 2025-06-30,2025-07-01 to 2025-07-10,2025-07-11 to 2025-07-13,2025-07-14 to 2025-07-14,2025-07-15 to 2025-07-16,2025-07-17 to 2025-07-23,2025-07-24 to 2025-08-06,2025-08-07 to 2025-08-09,2025-08-10 to 2025-08-16,2025-08-17 to 2025-08-19,2025-08-20 to 2025-08-21,2025-08-22 to 2025-08-22,2025-08-23 to 2025-08-27,2025-08-28 to 2025-08-28,2025-08-29 to 2025-08-29,2025-08-30 to 2025-08-31,2025-09-01 to 2025-10-01,2025-10-02 to 2025-10-17,2025-10-18 to 2025-10-31,2025-11-01 to 2025-12-12,2025-12-13 to 2025-12-15,2025-12-16 to 2025-12-19,2025-12-20 to 2026-01-01,2026-01-02 to 2026-01-05,2026-01-06 to 2026-01-12
CMAS,120.34,102.94,102.94,102.94,110.40,118.54,121.14,156.39,156.39,171.99,171.99,171.99,171.99,179.78,132.77,132.77,131.19,131.19,131.19,93.56,93.56,93.56,97.18,79.44,98.20,127.01,132.77,102.94,102.94
CMMS,83.39,83.39,87.46,87.46,87.46,87.46,87.46,112.66,112.66,123.96,123.96,123.96,123.96,129.61,95.94,95.94,95.94,95.94,95.94,89.83,89.83,89.83,95.94,76.61,95.94,95.94,95.94,95.94,86.56
EMAS,72.32,72.32,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,107.24,107.24,107.24,112.10,83.17,83.17,83.17,83.17,54.01,54.01,54.01,83.17,83.17,83.17,83.17,83.17,83.17,83.17,83.17
EMMS,31.19,31.19,31.19,36.27,36.27,49.49,56.73,56.73,56.73,62.38,62.38,62.38,62.38,65.20,63.84,63.84,63.84,63.84,63.84,63.84,35.03,35.03,35.03,35.03,35.03,56.05,56.05,42.37,42.37
ESAS,35.03,35.03,35.03,37.40,37.40,49.49,59.21,59.21,59.21,65.09,65.09,65.09,65.09,68.03,68.03,58.08,58.08,58.08,58.08,58.08,37.85,37.85,37.85,37.85,37.85,75.82,75.82,57.06,57.06
ESMS,27.80,27.80,27.80,33.79,33.79,47.12,53.11,53.11,53.11,58.42,58.42,39.32,58.42,61.13,61.13,61.13,61.13,61.13,41.13,41.13,32.32,32.32,32.32,32.32,32.32,51.19,51.19,38.65,38.65
PMAS,139.67,128.14,128.14,128.14,128.14,215.83,215.83,215.83,210.63,231.76,231.76,231.76,231.76,242.27,242.27,242.27,242.27,242.27,242.27,242.27,113.90,113.90,113.90,113.90,113.90,159.44,159.44,119.55,119.55
PMMS,95.37,95.37,95.37,56.73,56.73,65.20,77.29,77.29,77.29,84.98,84.98,84.98,84.98,88.82,88.82,88.82,88.82,88.82,88.82,88.82,48.59,49.04,49.04,49.04,49.04,49.04,49.04,49.04,49.04
PSAS,95.37,95.37,95.37,56.73,56.73,65.20,77.29,77.29,77.29,84.98,84.98,84.98,84.98,88.82,88.82,88.82,88.82,88.82,88.82,88.82,48.59,49.04,49.04,49.04,49.04,49.04,49.04,49.04,49.04
PSMS,31.19,31.19,31.19,36.27,36.27,49.49,56.73,56.73,56.73,62.38,62.38,62.38,62.38,65.20,63.84,63.84,63.84,63.84,63.84,63.84,35.03,35.03,35.03,35.03,35.03,56.05,56.05,42.37,42.37
SMAS,47.12,47.12,47.12,95.37,95.37,119.55,143.62,143.62,143.62,157.97,157.97,157.97,157.97,165.21,165.21,165.21,165.21,165.21,165.21,165.21,110.74,110.74,110.74,110.74,110.74,202.95,202.95,202.95,202.95
SSAS,87.91,80.68,80.68,80.68,80.68,135.49,135.49,135.49,132.32,145.54,145.54,145.54,145.54,152.21,152.21,152.21,152.21,152.21,152.21,152.21,71.87,71.87,71.87,71.87,71.87,100.46,100.46,75.37,75.37
SSMS,41.02,41.02,41.02,41.02,41.02,59.21,71.19,71.19,71.19,78.31,78.31,78.31,78.31,81.92,81.92,81.92,81.92,81.92,81.92,81.92,47.69,47.69,47.69,47.69,47.69,88.14,88.14,66.22,66.22

Prices adjusted by 13% (1.13x multiplier)

Linked Sipp categories (same prices):
EMMS and PSMS
PMMS and PSAS
