Sipp,2025-06-17 to 2025-06-17,2025-06-18 to 2025-06-23,2025-06-24 to 2025-06-24,2025-06-25 to 2025-06-28,2025-06-29 to 2025-06-30,2025-07-01 to 2025-07-10,2025-07-11 to 2025-07-13,2025-07-14 to 2025-07-14,2025-07-15 to 2025-07-16,2025-07-17 to 2025-07-23,2025-07-24 to 2025-08-06,2025-08-07 to 2025-08-09,2025-08-10 to 2025-08-16,2025-08-17 to 2025-08-19,2025-08-20 to 2025-08-21,2025-08-22 to 2025-08-22,2025-08-23 to 2025-08-27,2025-08-28 to 2025-08-28,2025-08-29 to 2025-08-29,2025-08-30 to 2025-08-31,2025-09-01 to 2025-10-01,2025-10-02 to 2025-10-17,2025-10-18 to 2025-10-31,2025-11-01 to 2025-12-12,2025-12-13 to 2025-12-15,2025-12-16 to 2025-12-19,2025-12-20 to 2026-01-01,2026-01-02 to 2026-01-05,2026-01-06 to 2026-01-12
CMAS,122.47,104.76,104.76,104.76,112.35,120.63,123.28,159.16,159.16,175.03,175.03,175.03,175.03,182.96,135.12,135.12,133.51,133.51,133.51,95.22,95.22,95.22,98.90,80.84,99.94,129.26,135.12,104.76,104.76
CMMS,84.87,84.87,89.01,89.01,89.01,89.01,89.01,114.66,114.66,126.15,126.15,126.15,126.15,131.91,97.64,97.64,97.64,97.64,97.64,91.42,91.42,91.42,97.64,77.97,97.64,97.64,97.64,97.64,88.09
EMAS,73.60,73.60,77.16,77.16,77.16,77.16,77.16,77.16,77.16,77.16,109.14,109.14,109.14,114.08,84.64,84.64,84.64,84.64,54.97,54.97,54.97,84.64,84.64,84.64,84.64,84.64,84.64,84.64,84.64
EMMS,31.74,31.74,31.74,36.91,36.91,50.37,57.73,57.73,57.73,63.48,63.48,63.48,63.48,66.36,64.97,64.97,64.97,64.97,64.97,64.97,35.65,35.65,35.65,35.65,35.65,57.04,57.04,43.12,43.12
ESAS,35.65,35.65,35.65,38.06,38.06,50.37,60.26,60.26,60.26,66.24,66.24,66.24,66.24,69.23,69.23,59.11,59.11,59.11,59.11,59.11,38.52,38.52,38.52,38.52,38.52,77.16,77.16,58.07,58.07
ESMS,28.29,28.29,28.29,34.38,34.38,47.95,54.05,54.05,54.05,59.45,59.45,40.02,59.45,62.21,62.21,62.21,62.21,62.21,41.86,41.86,32.89,32.89,32.89,32.89,32.89,52.09,52.09,39.33,39.33
PMAS,142.14,130.41,130.41,130.41,130.41,219.65,219.65,219.65,214.36,235.86,235.86,235.86,235.86,246.56,246.56,246.56,246.56,246.56,246.56,246.56,115.92,115.92,115.92,115.92,115.92,162.26,162.26,121.67,121.67
PMMS,97.06,97.06,97.06,57.73,57.73,66.36,78.66,78.66,78.66,86.48,86.48,86.48,86.48,90.39,90.39,90.39,90.39,90.39,90.39,90.39,49.45,49.91,49.91,49.91,49.91,49.91,49.91,49.91,49.91
PSAS,97.06,97.06,97.06,57.73,57.73,66.36,78.66,78.66,78.66,86.48,86.48,86.48,86.48,90.39,90.39,90.39,90.39,90.39,90.39,90.39,49.45,49.91,49.91,49.91,49.91,49.91,49.91,49.91,49.91
PSMS,31.74,31.74,31.74,36.91,36.91,50.37,57.73,57.73,57.73,63.48,63.48,63.48,63.48,66.36,64.97,64.97,64.97,64.97,64.97,64.97,35.65,35.65,35.65,35.65,35.65,57.04,57.04,43.12,43.12
SMAS,47.95,47.95,47.95,97.06,97.06,121.67,146.16,146.16,146.16,160.77,160.77,160.77,160.77,168.13,168.13,168.13,168.13,168.13,168.13,168.13,112.70,112.70,112.70,112.70,112.70,206.54,206.54,206.54,206.54
SSAS,89.47,82.11,82.11,82.11,82.11,137.88,137.88,137.88,134.66,148.12,148.12,148.12,148.12,154.90,154.90,154.90,154.90,154.90,154.90,154.90,73.14,73.14,73.14,73.14,73.14,102.23,102.23,76.70,76.70
SSMS,41.74,41.74,41.74,41.74,41.74,60.26,72.45,72.45,72.45,79.69,79.69,79.69,79.69,83.38,83.38,83.38,83.38,83.38,83.38,83.38,48.53,48.53,48.53,48.53,48.53,89.70,89.70,67.39,67.39

Prices adjusted by 15% (1.15x multiplier)

Linked Sipp categories (same prices):
EMMS and PSMS
PMMS and PSAS
